@relation mushroom-pn
@attribute cap-shape{x,b,s,f,k,c}
@attribute cap-surface{s,y,f,g}
@attribute cap-color{n,y,w,g,e,p,b,u,c,r}
@attribute bruises?{t,f}
@attribute odor{p,a,l,n,f,c,y,s,m}
@attribute gill-attachment{f,a}
@attribute gill-spacing{c,w}
@attribute gill-size{n,b}
@attribute gill-color{k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape{e,t}
@attribute stalk-root{e,c,b,r}
@attribute stalk-surface-above-ring{s,f,k,y}
@attribute stalk-surface-below-ring{s,f,y,k}
@attribute stalk-color-above-ring{w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring{w,p,g,b,n,e,y,o,c}
@attribute veil-type{p}
@attribute veil-color{w,n,o,y}
@attribute ring-number{o,t,n}
@attribute ring-type{p,e,l,f,n}
@attribute spore-print-color{k,n,u,h,w,r,o,y,b}
@attribute population{s,n,a,v,y,c}
@attribute habitat{u,g,m,d,p,w,l}
@attribute y{n,p}
@inputs cap-shape, cap-surface, cap-color, bruises?, odor, gill-attachment, gill-spacing, gill-size, gill-color, stalk-shape, stalk-root, stalk-surface-above-ring, stalk-surface-below-ring, stalk-color-above-ring, stalk-color-below-ring, veil-type, veil-color, ring-number, ring-type, spore-print-color, population, habitat
@outputs y
@data
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,n
f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,p
f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,p
f,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,p
f,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,p
x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,p
x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,p
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,p
x,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,p
f,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,p
f,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,p
f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,p
x,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,p
f,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,p
f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,p
x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,p
x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d,p
f,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,p
f,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,p
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,n
x,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,p
x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,p
f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,p
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,n
f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,p
x,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,p
x,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,p
x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,p
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,p
x,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,p
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,p
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,p
f,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,p
f,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,p
f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,p
f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,p
x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,p
x,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,p
b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,p
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,n
x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,p
f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,p
x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,p
x,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,p
f,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,p
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,n
f,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,p
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,n
x,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,p
x,f,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d,p
f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,p
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,n
x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,p
f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,p
f,s,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,f,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,p
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,p
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,n
x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,p
f,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,y,u,p
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,n
f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,p
x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,p
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,p
x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,p
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,n
f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,p
f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,p
x,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,p
x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,p
x,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,p
x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,p
f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,p
x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,p
x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,n
f,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,p
x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,p
x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,p
x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g,p
x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,p
x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,p
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,p
x,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,p
x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,p
x,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,p
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,n
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,n
x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,p
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p
f,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,p
x,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,p
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,n
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,p
x,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,p
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,n
x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,s,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,p
x,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,p
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,n
f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,p
f,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,p
x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,p
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,n
x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,p
f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,p
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,n
f,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,p
f,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,p
x,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,p
x,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,p
x,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,p
f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,p
f,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,p
f,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,p
x,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,p
x,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,p
x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,p
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,n
f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,p
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,n
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,p
x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,p
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,p
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,n
f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,p
f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,p
f,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,p
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,n
f,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,p
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,p
f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,p
x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,p
f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,p
x,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,p
x,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,p
x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,p
f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,p
x,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,p
x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d,p
x,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,p
x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,p
f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,p
x,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,p
x,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,p
f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,p
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,n
x,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,p
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,p
f,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,p
x,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,p
f,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,p
x,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,p
f,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,p
x,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,p
x,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,p
x,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,p
x,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,p
x,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,p
x,f,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,p
x,f,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,p
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,n
x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,p
x,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,p
x,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,p
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,p
x,f,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,p
x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,p
x,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,p
x,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,p
x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,p
x,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,p
x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,p
f,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,p
f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,p
f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,p
x,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,p
x,f,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,p
x,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,p
x,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,p
f,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,p
x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,p
x,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,p
x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,f,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,p
x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,p
f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,p
f,f,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,p
f,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,p
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,n
f,f,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,p
x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,p
x,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,p
x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,p
x,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,p
x,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,p
f,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,p
f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,p
f,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,p
x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,p
f,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,p
f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,p
x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,p
f,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,p
f,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,p
f,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,p
f,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,y,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,p
x,y,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,p
x,y,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,p
x,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,p
f,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,p
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g,p
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,n
f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,p
f,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,p
f,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,p
x,f,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,p
f,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,p
x,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,p
f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,p
x,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,p
x,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,p
f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,p
f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,p
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,n
b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,p
x,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,p
f,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,p
x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,p
x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,p
f,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,p
x,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,p
x,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,p
x,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,p
f,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,p
x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,p
f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,p
f,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,p
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,n
f,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,p
x,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,p
x,y,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,p
x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,p
x,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,p
x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,p
x,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,p
x,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,p
x,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,p
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,n
x,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,p
x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,p
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,n
x,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,p
x,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,p
x,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,p
f,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,p
f,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,p
f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,p
f,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,p
f,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,p
f,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,p
x,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,p
f,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,p
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,n
